TS|(Arduino),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-07-31 08:56:21.448,2023-07-31 08:56:21.548,120.88,110.08,118.22,457.16,190.02,366.74,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:21.548,2023-07-31 08:56:21.649,196.81,116.08,141.61,415.94,108.48,312.7,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:21.649,2023-07-31 08:56:21.749,110.2,113.99,185.37,420.3,129.4,363.02,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:21.749,2023-07-31 08:56:21.850,147.88,104.14,190.15,492.8,129.16,366.62,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:21.849,2023-07-31 08:56:21.950,120.41,167.88,114.83,457.17,186.23,383.18,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:21.949,2023-07-31 08:56:22.050,169.57,119.92,153.49,492.84,190.15,326.28,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:22.050,2023-07-31 08:56:22.150,187.71,141.53,165.96,409.47,186.88,308.06,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:22.150,2023-07-31 08:56:22.251,108.71,186.25,180.25,402.83,175.08,360.7,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:22.250,2023-07-31 08:56:22.351,142.29,142.33,196.7,479.13,147.95,322.54,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
2023-07-31 08:56:22.351,2023-07-31 08:56:22.452,105.02,116.98,107.87,436.41,190.21,324.76,2023-07-31 08:56:19.638,138.56,30.6,1690786579.6385663,131.5,1690786579.6385663,2023-07-31 08:46:21
