TS|(Arduino),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-07-31 08:51:20.679,2023-07-31 08:51:20.779,117.43,175.95,184.78,441.38,158.47,334.34,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:20.780,2023-07-31 08:51:20.881,100.64,168.09,178.72,487.3,178.09,375.6,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:20.880,2023-07-31 08:51:20.989,134.71,168.86,142.95,450.63,120.82,335.91,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:20.989,2023-07-31 08:51:21.090,155.54,197.7,173.47,468.16,118.32,312.3,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.091,2023-07-31 08:51:21.191,134.68,112.49,122.39,496.03,156.98,333.59,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.191,2023-07-31 08:51:21.291,181.69,118.23,125.71,453.49,112.66,363.29,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.291,2023-07-31 08:51:21.391,156.39,177.9,181.98,490.77,111.03,348.97,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.392,2023-07-31 08:51:21.492,117.14,108.19,106.98,438.08,173.24,372.15,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.492,2023-07-31 08:51:21.593,174.34,194.83,132.36,424.52,172.36,397.65,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.592,2023-07-31 08:51:21.693,145.39,165.21,136.35,401.12,187.0,371.6,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.693,2023-07-31 08:51:21.794,130.99,132.57,183.5,443.87,148.56,349.55,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.794,2023-07-31 08:51:21.894,116.4,180.03,115.82,422.04,169.7,390.0,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.894,2023-07-31 08:51:21.994,121.45,107.29,159.25,455.55,193.55,338.68,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:21.994,2023-07-31 08:51:22.096,174.38,165.91,185.91,466.08,176.44,314.9,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:22.095,2023-07-31 08:51:22.196,188.57,105.75,192.0,486.19,197.4,357.33,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:22.196,2023-07-31 08:51:22.296,102.28,118.21,194.64,485.51,196.65,324.71,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:22.296,2023-07-31 08:51:22.397,172.38,190.87,123.11,436.75,122.04,322.48,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:22.396,2023-07-31 08:51:22.497,155.55,175.71,107.78,456.46,150.89,300.34,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
2023-07-31 08:51:22.497,2023-07-31 08:51:22.598,107.04,156.8,191.34,448.78,106.24,320.69,2023-07-31 08:51:19.599,163.8,31.9,1690786279.5996668,134.51,1690786279.5996668,2023-07-31 08:46:21
