TS|(Arduino),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-07-31 09:03:02.654,2023-07-31 09:03:02.754,177.09,198.24,126.86,492.7,128.01,362.51,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:02.754,2023-07-31 09:03:02.854,127.98,145.86,141.18,415.66,121.45,302.29,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:02.854,2023-07-31 09:03:02.955,161.78,116.91,146.5,403.59,172.8,312.64,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:02.954,2023-07-31 09:03:03.055,127.55,190.24,125.04,477.67,171.78,375.73,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:03.055,2023-07-31 09:03:03.155,196.78,163.22,160.4,446.12,104.49,325.84,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:03.156,2023-07-31 09:03:03.256,121.08,139.89,103.42,401.79,119.5,317.14,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:03.256,2023-07-31 09:03:03.356,176.44,134.01,104.82,448.52,122.89,388.07,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:03.356,2023-07-31 09:03:03.456,140.16,193.78,142.87,407.42,137.11,313.38,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:03.456,2023-07-31 09:03:03.557,119.68,182.48,164.55,422.56,176.67,355.43,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
2023-07-31 09:03:03.557,2023-07-31 09:03:03.657,174.56,157.85,177.74,461.67,187.46,396.23,2023-07-31 09:02:59.679,188.19,31.5,1690786979.6796293,120.22,1690786979.6796293,2023-07-31 08:46:21
