TS|(Arduino),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-05 23:09:40.754,2023-12-05 22:01:27.189,172.00,39.00,140.00,157.00,164.00,177.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:40.947,2023-12-05 22:01:27.382,212.00,39.00,139.00,171.00,162.00,181.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:41.140,2023-12-05 22:01:27.575,298.00,39.00,137.00,225.00,162.00,204.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:41.334,2023-12-05 22:01:27.769,172.00,39.00,138.00,160.00,161.00,177.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:41.527,2023-12-05 22:01:27.963,211.00,39.00,140.00,170.00,162.00,182.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:41.721,2023-12-05 22:01:28.156,299.00,40.00,139.00,223.00,162.00,203.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:41.914,2023-12-05 22:01:28.350,173.00,40.00,139.00,160.00,163.00,178.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:42.108,2023-12-05 22:01:28.544,211.00,39.00,139.00,170.00,164.00,182.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:42.302,2023-12-05 22:01:28.737,299.00,40.00,139.00,222.00,162.00,203.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:42.495,2023-12-05 22:01:28.931,175.00,40.00,139.00,161.00,162.00,178.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:42.689,2023-12-05 22:01:29.212,209.00,41.00,140.00,169.00,164.00,180.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:42.882,2023-12-05 22:01:29.377,298.00,42.00,137.00,221.00,164.00,202.00,,,,,,,2023-12-05 22:01:29
2023-12-05 23:09:55.844,2023-12-05 22:01:42.342,237.00,40.00,139.00,203.00,162.00,199.00,2023-12-05 22:01:31.992,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:00.488,2023-12-05 22:01:47.082,259.00,40.00,140.00,215.00,161.00,205.00,2023-12-05 22:01:37.012,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:00.681,2023-12-05 22:01:47.246,193.00,40.00,139.00,161.00,163.00,173.00,2023-12-05 22:01:42.022,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:00.875,2023-12-05 22:01:47.409,232.00,42.00,137.00,173.00,163.00,177.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:01.261,2023-12-05 22:01:47.878,192.00,37.00,140.00,161.00,164.00,173.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:01.454,2023-12-05 22:01:48.073,228.00,39.00,137.00,172.00,162.00,178.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:01.648,2023-12-05 22:01:48.261,264.00,42.00,139.00,217.00,162.00,206.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:01.842,2023-12-05 22:01:48.457,191.00,37.00,140.00,161.00,164.00,173.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:02.035,2023-12-05 22:01:48.650,224.00,40.00,140.00,171.00,161.00,180.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:02.229,2023-12-05 22:01:48.843,267.00,39.00,139.00,217.00,162.00,208.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:02.422,2023-12-05 22:01:49.039,190.00,40.00,140.00,161.00,161.00,173.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:02.616,2023-12-05 22:01:49.232,222.00,40.00,142.00,171.00,162.00,179.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:02.809,2023-12-05 22:01:49.425,268.00,39.00,140.00,218.00,160.00,207.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:03.003,2023-12-05 22:01:49.620,190.00,40.00,140.00,158.00,162.00,171.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:03.196,2023-12-05 22:01:49.811,217.00,42.00,140.00,171.00,161.00,179.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:03.390,2023-12-05 22:01:50.007,271.00,39.00,137.00,220.00,162.00,207.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:03.583,2023-12-05 22:01:50.202,188.00,39.00,140.00,159.00,161.00,172.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:03.777,2023-12-05 22:01:50.392,216.00,42.00,137.00,172.00,161.00,180.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:03.970,2023-12-05 22:01:50.588,274.00,42.00,137.00,221.00,162.00,207.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:04.163,2023-12-05 22:01:50.780,188.00,39.00,138.00,158.00,162.00,171.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:04.356,2023-12-05 22:01:50.985,216.00,42.00,137.00,172.00,164.00,181.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:10:04.550,2023-12-05 22:01:51.186,277.00,40.00,140.00,221.00,164.00,209.00,2023-12-05 22:01:47.032,0,0,0,0,0,2023-12-05 22:01:29
