TS|(Arduino),TS|(Rpi),CH4|MQ4|Description for MQ4,CO|MQ7|Description for MQ7,Gen|MQ5|Description for MQ5,Alcohol|MQ3|Description for MQ3,NH3|MQ135|Description for MQ135,Comb|MQ2|Description for MQ2,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41|description SCD41,Session
2023-12-05 23:21:58.060,2023-12-05 22:13:45.273,212.00,42.00,140.00,187.00,163.00,195.00,2023-12-05 22:13:43.562,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:15.472,2023-12-05 22:14:02.756,204.00,39.00,140.00,167.00,164.00,179.00,2023-12-05 22:13:48.572,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:15.666,2023-12-05 22:14:02.916,266.00,42.00,139.00,197.00,163.00,190.00,2023-12-05 22:13:53.581,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:15.859,2023-12-05 22:14:03.086,238.00,37.00,140.00,200.00,163.00,201.00,2023-12-05 22:13:58.586,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:16.053,2023-12-05 22:14:03.278,195.00,44.00,137.00,164.00,163.00,176.00,2023-12-05 22:13:58.586,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:16.246,2023-12-05 22:14:03.471,233.00,42.00,140.00,175.00,163.00,180.00,2023-12-05 22:13:58.586,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:16.440,2023-12-05 22:14:03.674,267.00,39.00,140.00,218.00,164.00,209.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:16.633,2023-12-05 22:14:03.859,190.00,39.00,140.00,160.00,166.00,173.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:16.827,2023-12-05 22:14:04.062,216.00,42.00,139.00,171.00,165.00,183.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:17.214,2023-12-05 22:14:04.515,182.00,38.00,142.00,155.00,166.00,171.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:17.407,2023-12-05 22:14:04.674,212.00,41.00,140.00,171.00,164.00,182.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:17.601,2023-12-05 22:14:04.844,294.00,39.00,137.00,225.00,165.00,212.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:17.794,2023-12-05 22:14:05.020,174.00,38.00,140.00,153.00,164.00,171.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:17.988,2023-12-05 22:14:05.222,212.00,42.00,137.00,172.00,163.00,184.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:18.181,2023-12-05 22:14:05.412,298.00,41.00,140.00,219.00,165.00,204.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:18.374,2023-12-05 22:14:05.601,189.00,42.00,137.00,172.00,163.00,186.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:18.568,2023-12-05 22:14:05.795,206.00,39.00,140.00,167.00,164.00,182.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:18.761,2023-12-05 22:14:05.992,275.00,39.00,139.00,203.00,164.00,193.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:18.955,2023-12-05 22:14:06.183,225.00,40.00,140.00,195.00,163.00,197.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:19.148,2023-12-05 22:14:06.394,197.00,44.00,137.00,164.00,166.00,177.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:19.342,2023-12-05 22:14:06.572,243.00,44.00,140.00,181.00,163.00,181.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:19.535,2023-12-05 22:14:06.764,260.00,39.00,139.00,212.00,163.00,205.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:19.729,2023-12-05 22:14:06.957,190.00,39.00,137.00,160.00,165.00,173.00,2023-12-05 22:14:03.598,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:32.498,2023-12-05 22:14:19.742,266.00,42.00,140.00,218.00,165.00,211.00,2023-12-05 22:14:08.608,0,0,0,0,0,2023-12-05 22:01:29
2023-12-05 23:22:32.692,2023-12-05 22:14:19.933,189.00,41.00,140.00,159.00,165.00,176.00,2023-12-05 22:14:13.619,0,0,0,0,0,2023-12-05 22:01:29
